compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,fix_status,fix_success_count,found_bugs,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,needs_review,outcome,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,source_group,targets_elapsed_seconds,targets_return_code,targets_status,top_api_status,top_target_api_id,top_target_path,top_target_score,unit_name,unsafe_target_count,workspace_dir,workunit_key,error_message,error_stage,rerun_date,rerun_kind,supersedes_workspace_dir
[],[],,1,ok,1.0,ryu-1.0.13,94.38,,0.52,0,ok,ok,0,[],0.24,0,ok,60.92,0,ok,/tmp/deepSURF-main/dataset/rug_crates/ryu-1.0.13/Cargo.toml,rug_crates/ryu-1.0.13/Cargo.toml,[],validated,32.46,0,ok,0.0,0,0,1,0,ok,RUG,0.23,0,ok,validated,api::ryu::pretty::format32,ryu::pretty::format32,4.35,ryu-1.0.13,3,/tmp/seraph-deepsurf-round1-latest-20260429/ryu-1.0.13,rug_crates/ryu-1.0.13/Cargo.toml,,,,,
,,,,,,semver-1.0.17,34.76,,0.54,0,ok,,,,0.24,0,ok,33.74,0,ok,/tmp/deepSURF-main/dataset/rug_crates/semver-1.0.17/Cargo.toml,rug_crates/semver-1.0.17/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.23,0,ok,,,,,semver-1.0.17,0,/tmp/seraph-deepsurf-round1-latest-20260429/semver-1.0.17,rug_crates/semver-1.0.17/Cargo.toml,,,,,
"[""serde_json""]","[""lib""]",crate_build_failed,0,failed,0.0,serde_json-1.0.96,526.66,,1.23,0,ok,failed,0,[],0.33,0,ok,228.34,0,ok,/tmp/deepSURF-main/dataset/rug_crates/serde_json-1.0.96/Cargo.toml,rug_crates/serde_json-1.0.96/Cargo.toml,[],crate_build_failed,296.51,0,ok,0.0,0,0,0,0,skipped,RUG,0.23,0,ok,attempted,api::serde_json::ser::to_string,serde_json::ser::to_string,2.2,serde_json-1.0.96,2,/tmp/seraph-deepsurf-round1-latest-20260429/serde_json-1.0.96,rug_crates/serde_json-1.0.96/Cargo.toml,,,,,
,,,,,,time,513.19,time workspace member,1.01,0,ok,,,,0.29,0,ok,511.64,0,ok,/tmp/deepSURF-main/dataset/rug_crates/time/time/Cargo.toml,rug_crates/time/time/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.24,0,ok,,,,,time,0,/tmp/seraph-deepsurf-round1-latest-20260429/time,rug_crates/time/time/Cargo.toml,,,,,
[],[],,1,ok,1.0,uuid-1.4.0,652.84,,0.77,0,ok,ok,0,[],0.27,0,ok,190.8,0,ok,/tmp/deepSURF-main/dataset/rug_crates/uuid-1.4.0/Cargo.toml,rug_crates/uuid-1.4.0/Cargo.toml,[],validated,460.75,0,ok,0.05555555555555555,0,0,1,0,ok,RUG,0.24,0,ok,validated,api::uuid::Uuid::from_bytes_ref,uuid::Uuid::from_bytes_ref,2.4,uuid-1.4.0,5,/tmp/seraph-deepsurf-round1-latest-20260429/uuid-1.4.0,rug_crates/uuid-1.4.0/Cargo.toml,,,,,
[],[],,1,ok,1.0,arenavec-0.1.1,192.23,,0.57,0,ok,ok,0,"[""api::arenavec::common::SliceVec::split_off""]",0.31,0,ok,92.92,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/arenavec-0.1.1/Cargo.toml,rustsan_crates/arenavec-0.1.1/Cargo.toml,[],runtime_error,98.19,0,ok,0.32,1,1,0,0,bug,RUSTSAN,0.24,0,ok,validated,api::arenavec::common::SliceVec::split_off,arenavec::common::SliceVec::split_off,2.3,arenavec-0.1.1,8,/tmp/seraph-deepsurf-round1-latest-20260429/arenavec-0.1.1,rustsan_crates/arenavec-0.1.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,array-queue-0.3.3,99.22,,0.48,0,ok,ok,0,[],0.24,0,ok,43.29,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/array-queue-0.3.3/Cargo.toml,rustsan_crates/array-queue-0.3.3/Cargo.toml,[],validated,54.98,0,ok,0.8181818181818182,0,0,1,0,ok,RUSTSAN,0.23,0,ok,validated,api::array_queue::array_queue::ArrayQueue::new,array_queue::array_queue::ArrayQueue::new,2.3,array-queue-0.3.3,3,/tmp/seraph-deepsurf-round1-latest-20260429/array-queue-0.3.3,rustsan_crates/array-queue-0.3.3/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,base64-0.5.1,87.92,,0.51,0,ok,ok,1,[],0.23,0,ok,42.88,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/base64-0.5.1/Cargo.toml,rustsan_crates/base64-0.5.1/Cargo.toml,[],validated,44.06,0,ok,0.16666666666666666,0,0,1,0,ok,RUSTSAN,0.23,0,ok,validated,api::base64::encode_config_buf,base64::encode_config_buf,2.2,base64-0.5.1,1,/tmp/seraph-deepsurf-round1-latest-20260429/base64-0.5.1,rustsan_crates/base64-0.5.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,bumpalo-3.2.0,88.95,,0.44,0,ok,ok,0,[],0.28,0,ok,32.62,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/bumpalo-3.2.0/Cargo.toml,rustsan_crates/bumpalo-3.2.0/Cargo.toml,[],validated,55.38,0,ok,0.13333333333333333,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::bumpalo::Bump::with_capacity,bumpalo::Bump::with_capacity,2.3,bumpalo-3.2.0,8,/tmp/seraph-deepsurf-round1-latest-20260429/bumpalo-3.2.0,rustsan_crates/bumpalo-3.2.0/Cargo.toml,,,,,
,,,,,,chttp-0.1.2,12.08,,12.08,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/chttp-0.1.2/Cargo.toml,rustsan_crates/chttp-0.1.2/Cargo.toml,,extract_failed,,,,,,,,,,RUSTSAN,,,,,,,,chttp-0.1.2,,/tmp/seraph-deepsurf-round1-latest-20260429/chttp-0.1.2,rustsan_crates/chttp-0.1.2/Cargo.toml,"  error occurred in cc-rs: command did not execute successfully (status code exit status: 1): LC_ALL=""C"" ""cc"" ""-O0"" ""-ffunction-sections"" ""-fdata-sections"" ""-fPIC"" ""-g"" ""-gdwarf-4"" ""-fno-omit-frame-pointer"" ""-m64"" ""-I"" ""curl/lib"" ""-I"" ""curl/include"" ""-I"" ""/usr/include"" ""-I"" ""/usr/include"" ""-w"" ""-fvisibility=hidden"" ""-DBUILDING_LIBCURL"" ""-DCURL_DISABLE_DICT"" ""-DCURL_DISABLE_GOPHER"" ""-DCURL_DISABLE_",extract,,,
,,,,,,flatbuffers-0.8.0,0.62,,0.62,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/flatbuffers-0.8.0/Cargo.toml,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,,extract_failed,,,,,,,,,,RUSTSAN,,,,,,,,flatbuffers-0.8.0,,/tmp/seraph-deepsurf-round1-latest-20260429/flatbuffers-0.8.0,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 407276",extract,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,generic-array-0.13.2,118.58,,0.53,0,ok,ok,1,[],0.23,0,ok,53.28,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/generic-array-0.13.2/Cargo.toml,rustsan_crates/generic-array-0.13.2/Cargo.toml,[],validated,64.29,0,ok,0.0,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::generic_array::GenericArray::from_exact_iter,generic_array::GenericArray::from_exact_iter,2.3,generic-array-0.13.2,1,/tmp/seraph-deepsurf-round1-latest-20260429/generic-array-0.13.2,rustsan_crates/generic-array-0.13.2/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,id-map-0.2.1,139.85,,0.51,0,ok,ok,1,"[""api::id_map::IdMap::into_iter""]",0.26,0,ok,59.24,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/id-map-0.2.1/Cargo.toml,rustsan_crates/id-map-0.2.1/Cargo.toml,[],bug,79.61,0,ok,0.2916666666666667,1,1,0,0,bug,RUSTSAN,0.24,0,ok,validated,api::id_map::IdMap::into_iter,id_map::IdMap::into_iter,2.3,id-map-0.2.1,4,/tmp/seraph-deepsurf-round1-latest-20260429/id-map-0.2.1,rustsan_crates/id-map-0.2.1/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,safe-transmute-0.10.0,208.1,,0.55,0,ok,ok,1,[],0.29,0,ok,67.23,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/safe-transmute-0.10.0/Cargo.toml,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,[],validated,139.8,0,ok,0.0,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::safe_transmute::bool::guarded_transmute_bool_pedantic,safe_transmute::bool::guarded_transmute_bool_pedantic,2.2,safe-transmute-0.10.0,28,/tmp/seraph-deepsurf-round1-latest-20260429/safe-transmute-0.10.0,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,,,,,
"[""scratchpad""]","[""lib""]",crate_build_failed,0,failed,0.0,scratchpad-1.3.0,809.09,,0.92,0,ok,failed,0,[],0.45,0,ok,235.14,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/scratchpad-1.3.0/Cargo.toml,rustsan_crates/scratchpad-1.3.0/Cargo.toml,[],crate_build_failed,572.34,0,ok,0.0,0,0,0,0,skipped,RUSTSAN,0.24,0,ok,attempted,api::scratchpad::allocation::Allocation::concat_unchecked,scratchpad::allocation::Allocation::concat_unchecked,5.05,scratchpad-1.3.0,31,/tmp/seraph-deepsurf-round1-latest-20260429/scratchpad-1.3.0,rustsan_crates/scratchpad-1.3.0/Cargo.toml,,,,,
[],[],,1,ok,1.0,sized-chunks-0.6.2,431.89,,0.75,0,ok,ok,0,[],0.35,0,ok,161.43,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/sized-chunks-0.6.2/Cargo.toml,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,[],validated,269.12,0,ok,0.1111111111111111,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::sized_chunks::sparse_chunk::SparseChunk::get_unchecked,sized_chunks::sparse_chunk::SparseChunk::get_unchecked,4.95,sized-chunks-0.6.2,26,/tmp/seraph-sized-chunks-rerun-20260429-contextfix,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,,,2026-04-29,targeted_contextfix_rerun,/tmp/seraph-deepsurf-round1-latest-20260429/sized-chunks-0.6.2
"[""slice-deque""]","[""lib""]",crate_build_failed,0,failed,0.0,slice-deque-0.1.15,354.14,,0.9,0,ok,failed,0,[],0.37,0,ok,138.0,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/slice-deque-0.1.15/Cargo.toml,rustsan_crates/slice-deque-0.1.15/Cargo.toml,[],crate_build_failed,214.63,0,ok,0.0,0,0,0,0,skipped,RUSTSAN,0.24,0,ok,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,slice-deque-0.1.15,29,/tmp/seraph-deepsurf-round1-latest-20260429/slice-deque-0.1.15,rustsan_crates/slice-deque-0.1.15/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,smallvec-0.6.1,314.25,,0.68,0,ok,ok,1,[],0.28,0,ok,225.5,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.1/Cargo.toml,rustsan_crates/smallvec-0.6.1/Cargo.toml,[],validated,87.54,0,ok,0.06666666666666667,0,0,1,0,ok,RUSTSAN,0.23,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,smallvec-0.6.1,12,/tmp/seraph-deepsurf-round1-latest-20260429/smallvec-0.6.1,rustsan_crates/smallvec-0.6.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,smallvec-0.6.3,158.4,,0.71,0,ok,ok,0,[],0.29,0,ok,79.48,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.3/Cargo.toml,rustsan_crates/smallvec-0.6.3/Cargo.toml,[],validated,77.67,0,ok,0.13333333333333333,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,smallvec-0.6.3,12,/tmp/seraph-deepsurf-round1-latest-20260429/smallvec-0.6.3,rustsan_crates/smallvec-0.6.3/Cargo.toml,,,,,
[],[],,1,ok,1.0,stack-0.3.0,417.25,,0.61,0,ok,ok,0,[],0.27,0,ok,114.75,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/stack-0.3.0/Cargo.toml,rustsan_crates/stack-0.3.0/Cargo.toml,[],validated,301.39,0,ok,0.0,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::stack::array_vec::ArrayVec::into_inner,stack::array_vec::ArrayVec::into_inner,2.3,stack-0.3.0,12,/tmp/seraph-stack-rerun-20260429-contextfix2,rustsan_crates/stack-0.3.0/Cargo.toml,,,2026-04-29,targeted_contextfix_rerun,/tmp/seraph-deepsurf-round1-latest-20260429/stack-0.3.0
[],[],,1,ok,1.0,sys-info-0.7.0,457.11,,0.57,0,ok,ok,0,[],0.25,0,ok,207.9,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/sys-info-0.7.0/Cargo.toml,rustsan_crates/sys-info-0.7.0/Cargo.toml,[],validated,248.16,0,ok,0.3,0,0,1,0,ok,RUSTSAN,0.24,0,ok,validated,api::sys_info::disk_info,sys_info::disk_info,2.3,sys-info-0.7.0,10,/tmp/seraph-deepsurf-round1-latest-20260429/sys-info-0.7.0,rustsan_crates/sys-info-0.7.0/Cargo.toml,,,,,
