compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,fix_status,fix_success_count,found_bugs,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,needs_review,outcome,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,source_group,targets_elapsed_seconds,targets_return_code,targets_status,top_api_status,top_target_api_id,top_target_path,top_target_score,unit_name,unsafe_target_count,workspace_dir,workunit_key,error_message,error_stage,rerun_date,rerun_kind,supersedes_workspace_dir
[],[],,1,ok,1.0,bumpalo-3.11.0,134.48,,0.54,0,ok,ok,0,[],0.3,0,ok,51.54,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/bumpalo-3.11.0/Cargo.toml,erasan_crates/bumpalo-3.11.0/Cargo.toml,[],validated,81.86,0,ok,0.19230769230769232,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::bumpalo::Bump::iter_allocated_chunks,bumpalo::Bump::iter_allocated_chunks,3.55,bumpalo-3.11.0,14,/tmp/seraph-deepsurf-round1-latest-20260429/bumpalo-3.11.0,erasan_crates/bumpalo-3.11.0/Cargo.toml,,,,,
[],[],,1,ok,1.0,cbox-0.3.0,108.87,,0.52,0,ok,ok,0,[],0.26,0,ok,58.82,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/cbox-0.3.0/Cargo.toml,erasan_crates/cbox-0.3.0/Cargo.toml,[],validated,49.03,0,ok,0.0,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::cbox::CBox::as_semi,cbox::CBox::as_semi,2.3,cbox-0.3.0,6,/tmp/seraph-deepsurf-round1-latest-20260429/cbox-0.3.0,erasan_crates/cbox-0.3.0/Cargo.toml,,,,,
,,,,,,endian_trait-0.6.0,43.77,,0.49,0,ok,,,,0.23,0,ok,42.81,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/endian_trait-0.6.0/Cargo.toml,erasan_crates/endian_trait-0.6.0/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.23,0,ok,,,,,endian_trait-0.6.0,0,/tmp/seraph-deepsurf-round1-latest-20260429/endian_trait-0.6.0,erasan_crates/endian_trait-0.6.0/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,futures-0.3.3,462.66,futures-task workspace member,0.51,0,ok,ok,1,[],0.32,0,ok,333.59,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.3/futures-task/Cargo.toml,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,[],validated,128.01,0,ok,0.1111111111111111,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,futures-0.3.3-futures-task,1,/tmp/seraph-deepsurf-round1-latest-20260429/futures-0.3.3-futures-task,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,futures-0.3.5,288.69,futures-task workspace member,0.5,0,ok,ok,1,[],0.24,0,ok,155.7,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.5/futures-task/Cargo.toml,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,[],validated,132.01,0,ok,0.1111111111111111,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,futures-0.3.5-futures-task,1,/tmp/seraph-deepsurf-round1-latest-20260429/futures-0.3.5-futures-task,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,,,,,
"[""http""]","[""lib""]",crate_build_failed,0,failed,0.0,http-0.1.19,887.68,,1.65,0,ok,failed,0,[],0.39,0,ok,589.66,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/http-0.1.19/Cargo.toml,erasan_crates/http-0.1.19/Cargo.toml,[],crate_build_failed,295.74,0,ok,0.0,0,0,0,0,skipped,ERASAN,0.24,0,ok,attempted,api::http::header::name::HeaderName::from_bytes,http::header::name::HeaderName::from_bytes,2.5,http-0.1.19,6,/tmp/seraph-deepsurf-round1-latest-20260429/http-0.1.19,erasan_crates/http-0.1.19/Cargo.toml,,,,,
,,,,,,insert_many-0.1.1,18.32,,0.47,0,ok,,,,0.24,0,ok,17.36,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/insert_many-0.1.1/Cargo.toml,erasan_crates/insert_many-0.1.1/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.24,0,ok,,,,,insert_many-0.1.1,0,/tmp/seraph-deepsurf-round1-latest-20260429/insert_many-0.1.1,erasan_crates/insert_many-0.1.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,lru-0.6.6,178.03,,0.48,0,ok,ok,0,[],0.25,0,ok,88.58,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/lru-0.6.6/Cargo.toml,erasan_crates/lru-0.6.6/Cargo.toml,[],validated,88.48,0,ok,0.3157894736842105,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::lru::LruCache::iter,lru::LruCache::iter,2.3,lru-0.6.6,9,/tmp/seraph-deepsurf-round1-latest-20260429/lru-0.6.6,erasan_crates/lru-0.6.6/Cargo.toml,,,,,
[],[],,1,ok,1.0,nano_arena-0.5.2,126.61,,0.54,0,ok,ok,0,[],0.24,0,ok,54.24,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/nano_arena-0.5.2/Cargo.toml,erasan_crates/nano_arena-0.5.2/Cargo.toml,[],validated,71.34,0,ok,0.16666666666666666,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::nano_arena::Arena::split_at,nano_arena::Arena::split_at,2.2,nano_arena-0.5.2,1,/tmp/seraph-deepsurf-round1-latest-20260429/nano_arena-0.5.2,erasan_crates/nano_arena-0.5.2/Cargo.toml,,,,,
[],[],,1,ok,1.0,ordnung-0.0.1,137.51,,0.52,0,ok,ok,0,[],0.24,0,ok,55.2,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/ordnung-0.0.1/Cargo.toml,erasan_crates/ordnung-0.0.1/Cargo.toml,[],validated,81.31,0,ok,0.5333333333333333,0,0,1,0,ok,ERASAN,0.23,0,ok,validated,api::ordnung::Map::get,ordnung::Map::get,2.2,ordnung-0.0.1,3,/tmp/seraph-deepsurf-round1-latest-20260429/ordnung-0.0.1,erasan_crates/ordnung-0.0.1/Cargo.toml,,,,,
